brand,device_type,age_years,condition,original_price,usage_hours_per_day,resale_price
Samsung,smartphone,1,excellent,45000,4.5,32000
Apple,laptop,2,good,120000,6.0,78000
Dell,laptop,3,fair,55000,8.0,28000
Apple,tablet,1,excellent,65000,3.0,52000
Xiaomi,smartphone,2,good,22000,5.5,14000
HP,laptop,4,poor,48000,9.0,15000
Lenovo,laptop,2,excellent,72000,5.0,48000
Samsung,tablet,3,fair,35000,4.0,18000
OnePlus,smartphone,1,excellent,42000,4.0,31000
Asus,laptop,2,good,88000,7.0,52000
Apple,smartphone,3,good,95000,5.0,48000
Realme,smartphone,1,good,18000,5.0,13000
Microsoft,surface,2,excellent,98000,4.5,62000
Dell,monitor,3,fair,18000,10.0,7000
LG,monitor,2,good,25000,6.0,14000
Sony,headphones,1,excellent,22000,2.0,16000
Bose,speaker,2,good,35000,3.0,22000
JBL,headphones,3,fair,8000,4.0,3500
Canon,camera,4,good,55000,2.0,24000
Nikon,camera,2,excellent,72000,1.5,52000
Samsung,smartwatch,2,good,28000,12.0,15000
Apple,smartwatch,1,excellent,42000,14.0,32000
Fitbit,wearable,3,fair,12000,8.0,4000
Google,smartphone,2,good,68000,4.5,38000
Motorola,smartphone,4,poor,15000,6.0,4500
Acer,laptop,5,poor,32000,9.0,8000
MSI,laptop,1,excellent,95000,7.0,72000
Huawei,tablet,3,good,40000,4.0,20000
Samsung,laptop,2,good,62000,6.0,38000
Apple,laptop,1,excellent,145000,5.5,115000
Dell,desktop,4,fair,42000,8.0,18000
HP,desktop,3,good,38000,7.0,20000
Asus,monitor,1,excellent,32000,8.0,26000
LG,smartphone,2,good,28000,5.0,16000
Xiaomi,tablet,2,excellent,30000,3.5,21000
Sony,console,3,good,45000,5.0,28000
Microsoft,console,2,excellent,50000,6.0,35000
Nintendo,console,4,fair,28000,4.0,15000
Bose,headphones,1,excellent,28000,2.5,22000
JBL,speaker,2,good,15000,3.0,9000
Canon,printer,5,poor,12000,1.0,3000
Epson,printer,3,fair,18000,1.5,7000
Samsung,smartphone,2,excellent,52000,4.0,36000
Apple,smartphone,4,good,75000,5.0,35000
OnePlus,smartphone,3,fair,38000,5.5,18000
Realme,smartphone,2,good,20000,6.0,11000
Dell,laptop,1,excellent,68000,5.0,52000
Lenovo,tablet,2,good,28000,4.0,17000
HP,laptop,3,fair,52000,7.0,24000
Asus,laptop,3,excellent,82000,6.0,48000
Apple,tablet,2,good,55000,3.0,38000
Samsung,laptop,3,good,58000,6.5,32000
Xiaomi,smartphone,1,excellent,25000,4.5,19000
Google,smartphone,3,fair,55000,5.0,28000
Sony,headphones,2,fair,15000,3.0,7000
LG,monitor,4,good,20000,7.0,9000
MSI,laptop,2,good,88000,8.0,52000
Acer,laptop,3,fair,45000,7.5,20000
Huawei,smartphone,2,excellent,42000,4.0,28000
Motorola,smartphone,2,good,18000,5.0,10000
Canon,camera,3,good,48000,2.0,26000
Nikon,camera,4,fair,62000,1.5,28000
Fitbit,wearable,2,good,15000,10.0,8000
Apple,smartwatch,3,fair,35000,12.0,16000
JBL,headphones,1,excellent,12000,2.0,9000
Bose,speaker,3,fair,40000,2.5,22000
Microsoft,surface,3,good,85000,5.0,48000
Dell,monitor,2,excellent,22000,9.0,17000
HP,desktop,2,excellent,55000,6.0,38000
Asus,monitor,3,good,28000,7.0,16000
Samsung,tablet,1,excellent,42000,3.0,32000
Realme,smartphone,3,fair,16000,6.0,7000
OnePlus,smartphone,2,excellent,40000,4.5,28000
Apple,laptop,3,good,110000,6.0,65000
Lenovo,laptop,4,fair,60000,8.0,28000
Dell,laptop,2,excellent,75000,5.5,52000
Xiaomi,tablet,3,fair,22000,4.0,11000
Sony,console,2,excellent,48000,5.5,32000
Nintendo,console,3,good,32000,4.5,20000
LG,smartphone,3,fair,24000,5.5,12000
Samsung,smartwatch,3,good,32000,11.0,17000
Google,smartphone,1,excellent,72000,4.0,55000
Canon,printer,4,fair,15000,1.2,5000
Epson,printer,2,good,22000,1.0,12000
Bose,headphones,3,fair,24000,2.0,12000
JBL,speaker,1,excellent,18000,3.5,14000
Apple,smartphone,2,excellent,88000,4.5,62000
Samsung,smartphone,3,good,48000,5.0,28000
HP,laptop,1,excellent,62000,5.0,48000
Asus,laptop,1,excellent,92000,6.0,72000
Dell,desktop,3,good,45000,7.5,24000
Microsoft,console,1,excellent,52000,5.0,40000
Huawei,tablet,2,excellent,38000,3.5,26000
Motorola,smartphone,1,good,20000,5.0,15000
Nikon,camera,3,good,58000,2.0,34000
Sony,camera,2,excellent,68000,1.8,48000
Fitbit,wearable,1,excellent,18000,9.0,13000
Realme,smartphone,2,good,19000,5.5,12000
Xiaomi,smartphone,4,fair,21000,6.0,8000
Apple,tablet,3,fair,45000,3.5,24000
Lenovo,tablet,3,good,32000,4.0,19000
Acer,laptop,2,good,50000,7.0,30000
MSI,laptop,3,fair,78000,8.5,42000
LG,monitor,1,excellent,30000,6.0,24000
Samsung,monitor,2,good,24000,8.0,17000
JBL,headphones,2,good,10000,3.5,6000
Bose,speaker,1,excellent,45000,3.0,35000
Canon,camera,2,excellent,62000,2.2,45000
Epson,printer,3,good,20000,1.3,9000
Dell,laptop,4,fair,56000,7.0,22000
Apple,laptop,4,good,105000,6.5,52000
HP,laptop,2,excellent,70000,5.5,50000
Samsung,smartphone,1,good,38000,4.8,26000
OnePlus,smartphone,4,fair,32000,5.0,14000
Google,smartphone,2,excellent,65000,4.2,45000
Sony,headphones,4,poor,11000,4.0,3500
Asus,monitor,2,excellent,35000,7.5,26000
Xiaomi,tablet,1,good,26000,3.2,19000
Nintendo,console,2,good,30000,4.0,21000
Microsoft,surface,1,excellent,105000,4.0,82000
Lenovo,laptop,1,excellent,68000,5.2,52000
Realme,smartphone,1,excellent,21000,4.8,17000
Huawei,smartphone,3,good,35000,5.2,20000
Motorola,smartphone,3,fair,14000,6.0,6000
Samsung,tablet,2,good,36000,3.8,22000
Apple,smartwatch,2,excellent,38000,13.0,28000
Fitbit,wearable,4,fair,10000,7.0,3500
Dell,monitor,4,good,16000,9.5,7000
HP,desktop,4,fair,35000,8.0,15000
LG,smartphone,1,excellent,32000,4.2,24000
Acer,laptop,4,poor,28000,9.0,9000
MSI,laptop,2,excellent,102000,7.5,78000
JBL,speaker,3,good,12000,2.8,7500
Bose,headphones,2,excellent,26000,2.2,20000
Canon,printer,2,good,16000,1.1,9000
Nikon,camera,1,excellent,78000,1.6,62000
Samsung,laptop,1,excellent,72000,5.8,56000
Apple,smartphone,1,excellent,92000,4.2,72000
Dell,laptop,3,good,64000,6.2,38000
Xiaomi,smartphone,3,good,23000,5.8,13000
Asus,laptop,4,fair,70000,7.8,32000
Sony,console,4,fair,38000,4.8,18000
Google,smartphone,4,fair,48000,5.5,22000
Lenovo,tablet,1,excellent,30000,3.6,23000
HP,laptop,4,poor,44000,8.5,16000
Realme,smartphone,4,poor,14000,6.5,4500
OnePlus,smartphone,1,good,36000,4.6,26000
Microsoft,console,3,good,42000,5.8,26000
Huawei,tablet,4,fair,28000,4.2,12000
Samsung,smartwatch,1,excellent,36000,12.5,27000
Epson,printer,4,fair,14000,1.4,4500
LG,monitor,3,excellent,26000,7.2,18000
JBL,headphones,4,fair,7000,4.2,2500
Bose,speaker,4,good,32000,2.8,18000
Canon,camera,1,good,58000,2.1,42000
Fitbit,wearable,2,good,13000,9.5,9000
Apple,tablet,1,excellent,60000,3.2,48000
Motorola,smartphone,2,excellent,22000,5.2,16000
Nintendo,console,1,excellent,35000,4.2,28000
Acer,laptop,1,good,48000,6.8,36000
MSI,laptop,4,fair,72000,8.8,38000
Dell,desktop,2,excellent,50000,6.5,35000
Samsung,monitor,3,fair,19000,8.2,10000
Xiaomi,smartphone,2,excellent,27000,4.9,20000
Apple,laptop,2,excellent,135000,5.2,98000
HP,laptop,3,excellent,66000,6.0,42000
Asus,laptop,2,excellent,86000,6.2,58000
Sony,headphones,1,good,18000,2.8,13000
Lenovo,laptop,3,good,58000,7.2,34000
Realme,smartphone,3,good,17000,5.9,10000
Google,smartphone,3,excellent,70000,4.6,48000
Dell,laptop,5,poor,40000,9.0,12000
Samsung,smartphone,4,fair,42000,5.8,20000
OnePlus,smartphone,2,good,39000,4.9,26000
LG,smartphone,4,poor,20000,6.2,7000
Apple,smartwatch,4,fair,28000,11.0,14000
Huawei,smartphone,1,excellent,48000,4.4,36000
Canon,camera,5,poor,45000,1.8,15000
Nikon,camera,5,fair,50000,2.2,22000
JBL,speaker,2,excellent,16000,3.2,12000
Bose,headphones,4,fair,20000,2.5,9000
Microsoft,surface,4,good,72000,5.5,40000
Epson,printer,1,excellent,24000,0.9,18000
Fitbit,wearable,3,good,11000,8.5,6500
Samsung,tablet,4,fair,26000,4.0,12000
Motorola,smartphone,4,fair,12000,6.2,4500
Acer,laptop,3,good,42000,7.2,24000
MSI,laptop,5,poor,68000,9.0,28000
HP,desktop,1,excellent,48000,6.0,36000
Asus,monitor,4,fair,22000,8.0,11000
Dell,monitor,1,good,20000,8.5,15000
Xiaomi,tablet,4,good,18000,4.5,10000
Sony,console,1,excellent,52000,5.2,38000
Nintendo,console,5,poor,22000,3.5,9000
Apple,smartphone,5,fair,65000,5.5,28000
Lenovo,tablet,2,excellent,34000,3.8,24000
Realme,smartphone,2,excellent,20000,5.0,15000
Google,smartphone,5,fair,40000,5.8,18000
Samsung,laptop,4,good,54000,6.8,30000
LG,monitor,2,good,27000,6.5,16000
JBL,headphones,3,good,9000,3.8,5000
Bose,speaker,2,good,38000,3.2,26000
Canon,printer,3,good,17000,1.0,8000
Dell,laptop,1,good,70000,5.5,54000
Apple,laptop,5,fair,95000,6.8,42000
HP,laptop,5,poor,38000,9.2,12000
OnePlus,smartphone,3,excellent,44000,5.0,32000
Xiaomi,smartphone,5,fair,19000,6.2,6000
Asus,laptop,5,fair,62000,8.0,28000
Huawei,tablet,1,good,36000,3.0,26000
Microsoft,console,4,fair,36000,5.0,20000
Sony,camera,3,fair,52000,2.0,28000
Fitbit,wearable,5,poor,8000,6.0,2500
Samsung,smartwatch,4,fair,26000,10.0,13000
Epson,printer,5,poor,11000,1.5,3000
Acer,laptop,5,poor,22000,9.5,6000
MSI,laptop,1,good,98000,7.0,76000
Dell,desktop,5,poor,30000,8.5,9000
Realme,smartphone,5,poor,11000,6.8,3500
Motorola,smartphone,5,poor,10000,6.5,3000
Lenovo,laptop,5,fair,48000,8.0,22000
JBL,speaker,4,fair,9000,2.5,4500
Bose,headphones,5,fair,18000,2.0,7000
Nikon,camera,2,excellent,70000,1.9,52000
LG,smartphone,5,poor,16000,6.5,5000
Google,smartphone,1,good,62000,4.3,48000
Samsung,smartphone,5,poor,28000,6.0,9000
Apple,tablet,4,good,48000,3.8,28000
Canon,camera,3,excellent,60000,2.0,40000
Nintendo,console,3,fair,26000,4.2,15000
Xiaomi,tablet,2,good,24000,3.5,16000
HP,laptop,1,good,58000,5.8,44000
Asus,laptop,3,good,74000,6.8,44000
Sony,headphones,3,good,14000,3.2,8000
Dell,monitor,3,good,21000,8.8,13000
Samsung,tablet,3,excellent,40000,3.5,28000
Apple,smartwatch,3,good,33000,12.0,22000
OnePlus,smartphone,5,fair,28000,5.5,12000
Microsoft,surface,2,good,92000,4.8,62000
Lenovo,tablet,4,fair,24000,4.2,13000
Epson,printer,2,excellent,21000,1.1,15000
Fitbit,wearable,3,excellent,16000,8.0,11000
Acer,laptop,2,excellent,52000,6.5,38000
MSI,laptop,3,good,82000,7.8,52000
LG,monitor,4,fair,18000,7.8,8000
JBL,headphones,1,good,11000,2.5,8000
Bose,speaker,3,excellent,42000,3.0,32000
Huawei,smartphone,4,fair,30000,5.5,14000
Motorola,smartphone,2,fair,16000,5.5,8000
Realme,smartphone,1,good,18500,4.9,13500
Google,smartphone,2,good,60000,4.7,40000
Samsung,laptop,2,excellent,68000,5.6,50000
Dell,laptop,2,good,66000,6.0,42000
Apple,smartphone,2,good,82000,4.8,52000
Xiaomi,smartphone,2,good,24000,5.2,16000
HP,laptop,2,good,54000,6.5,36000
Asus,laptop,4,good,66000,7.5,38000
Sony,console,3,fair,40000,5.0,22000
Nikon,camera,4,good,54000,2.1,30000
Canon,camera,4,good,50000,1.9,26000
Samsung,monitor,1,excellent,28000,7.0,22000
LG,smartphone,2,excellent,30000,4.6,21000
Lenovo,laptop,2,excellent,62000,5.5,46000
Dell,desktop,1,good,46000,6.8,32000
Microsoft,console,2,good,46000,5.5,30000
Apple,tablet,2,excellent,58000,3.0,44000
JBL,speaker,1,good,14000,3.0,10000
Bose,headphones,1,good,23000,2.3,17000
Epson,printer,1,good,19000,1.0,13000
Fitbit,wearable,1,good,14000,9.0,10000
Acer,laptop,1,excellent,55000,6.2,42000
MSI,laptop,2,good,90000,7.2,66000
Huawei,tablet,3,excellent,36000,3.2,24000
Realme,smartphone,3,excellent,19500,5.8,13000
OnePlus,smartphone,3,good,41000,5.1,26000
Motorola,smartphone,3,good,13500,5.8,7500
Google,smartphone,3,good,62000,4.9,38000
Samsung,smartwatch,2,excellent,34000,11.5,24000
Apple,laptop,1,good,128000,5.0,98000
Dell,laptop,3,excellent,71000,5.8,50000
Xiaomi,tablet,3,excellent,27000,3.6,19000
HP,laptop,3,good,61000,6.2,38000
Asus,monitor,1,good,31000,7.2,23000
Sony,headphones,2,excellent,20000,2.0,15000
Lenovo,tablet,3,excellent,31000,3.7,21000
LG,monitor,1,good,29000,6.8,21000
Samsung,smartphone,2,good,44000,4.9,29000
Nintendo,console,4,good,24000,4.0,16000
Canon,printer,1,excellent,19000,0.8,14000
Nikon,camera,1,good,66000,1.7,48000
JBL,headphones,2,excellent,10500,3.0,7500
Bose,speaker,4,excellent,36000,2.6,26000
Microsoft,surface,3,excellent,88000,4.6,58000
Epson,printer,3,excellent,23000,1.2,16000
Fitbit,wearable,2,excellent,17000,8.8,12500
Acer,laptop,3,excellent,47000,6.8,30000
MSI,laptop,4,good,76000,8.2,46000
Dell,monitor,2,excellent,24000,8.2,18000
Huawei,smartphone,2,good,40000,4.8,26000
Realme,smartphone,2,fair,17500,6.0,9500
Motorola,smartphone,1,excellent,21000,4.7,16000
Google,smartphone,4,good,52000,5.2,32000
Apple,smartwatch,1,good,40000,13.5,30000
OnePlus,smartphone,4,good,35000,5.3,20000
Samsung,tablet,1,good,38000,3.4,28000
Lenovo,laptop,1,good,64000,5.3,48000
Xiaomi,smartphone,4,good,20500,6.1,10000
HP,laptop,4,good,50000,7.8,26000
Asus,laptop,1,good,78000,5.9,58000
Sony,console,2,good,44000,5.2,28000
LG,smartphone,3,excellent,26000,5.1,17000
Samsung,monitor,2,excellent,26000,7.5,20000
Dell,desktop,2,good,44000,7.0,28000
Apple,smartphone,3,excellent,90000,4.6,58000
Canon,camera,2,good,56000,2.0,36000
Nikon,camera,3,excellent,64000,1.8,46000
JBL,speaker,3,excellent,13000,2.9,9500
Bose,headphones,3,good,22000,2.1,15000
Microsoft,console,1,good,48000,5.3,36000
Epson,printer,3,good,19500,1.2,11000
Fitbit,wearable,4,good,9500,7.5,5000
Acer,laptop,4,good,36000,7.5,18000
MSI,laptop,1,good,100000,6.8,78000
Huawei,tablet,2,good,34000,3.4,22000
Realme,smartphone,4,good,15500,6.2,8500
Motorola,smartphone,4,good,11500,6.3,5000
Google,smartphone,3,excellent,68000,4.5,50000
OnePlus,smartphone,1,excellent,38000,4.4,29000
Samsung,laptop,3,excellent,60000,5.7,42000
Lenovo,tablet,1,good,29000,3.5,20000
Apple,tablet,3,excellent,52000,3.1,36000
Dell,laptop,4,good,52000,6.8,28000
Xiaomi,tablet,2,excellent,29000,3.3,20000
HP,laptop,3,excellent,65000,5.9,42000
Asus,laptop,3,excellent,80000,6.0,54000
Sony,headphones,5,poor,9000,4.5,2500
LG,monitor,5,fair,15000,8.0,6000
Samsung,smartwatch,3,excellent,30000,11.8,21000
Nintendo,console,2,excellent,31000,4.3,24000
Canon,printer,2,excellent,17500,0.9,12000
JBL,headphones,5,poor,6000,4.5,2000
Bose,speaker,5,fair,28000,2.2,15000
Microsoft,surface,5,fair,65000,5.2,38000
Epson,printer,5,good,12000,1.6,6000
Fitbit,wearable,5,good,7500,6.5,3500
Acer,laptop,5,good,30000,8.2,14000
MSI,laptop,5,good,70000,8.5,40000
Dell,monitor,5,fair,14000,9.0,6000
Huawei,smartphone,5,fair,25000,5.8,9000
Realme,smartphone,5,good,12500,6.5,5500
Google,smartphone,5,good,45000,5.6,24000
OnePlus,smartphone,2,fair,36000,5.4,20000
Motorola,smartphone,2,fair,15500,5.7,9000
Apple,laptop,2,good,118000,5.8,78000
Samsung,smartphone,3,excellent,50000,4.7,34000
Lenovo,laptop,2,good,56000,6.8,38000
Xiaomi,smartphone,3,excellent,25500,5.0,17000
HP,laptop,2,excellent,68000,5.7,50000
Asus,laptop,2,good,82000,6.0,54000
Sony,console,5,poor,32000,4.5,12000
LG,smartphone,1,good,31000,4.4,22000
Samsung,tablet,2,excellent,39000,3.2,28000
Dell,desktop,3,excellent,47000,6.5,32000
Apple,smartwatch,2,good,36000,12.8,26000
Canon,camera,5,good,42000,1.7,20000
Nikon,camera,5,good,48000,2.0,24000
JBL,speaker,5,poor,7000,2.2,3000
Bose,headphones,2,good,21000,2.4,15000
Microsoft,console,5,poor,30000,4.8,12000
Epson,printer,4,excellent,21000,1.1,14000
Fitbit,wearable,5,excellent,12000,7.0,8000
Acer,laptop,1,good,50000,6.0,38000
MSI,laptop,2,excellent,96000,7.0,72000
Huawei,tablet,5,fair,22000,4.0,10000
Realme,smartphone,5,excellent,18000,5.5,12000
Google,smartphone,2,excellent,66000,4.4,48000
OnePlus,smartphone,2,excellent,42000,4.8,30000
Motorola,smartphone,2,excellent,19500,5.0,13000
Samsung,laptop,5,fair,46000,7.5,22000
Lenovo,tablet,5,fair,20000,4.5,10000
Apple,tablet,5,fair,38000,3.6,20000
Dell,laptop,5,good,48000,7.0,26000
Xiaomi,tablet,5,fair,15000,4.8,7000
HP,laptop,5,good,42000,8.0,20000
Asus,laptop,5,good,58000,8.2,32000
Sony,headphones,2,fair,12000,3.5,6500
LG,monitor,2,excellent,32000,6.2,24000
Samsung,monitor,4,excellent,21000,8.0,14000
Nintendo,console,4,excellent,27000,4.1,19000
Canon,printer,4,excellent,16000,1.0,10000
JBL,headphones,4,excellent,8500,3.2,5500
Bose,speaker,2,excellent,41000,3.1,31000
Microsoft,surface,4,excellent,80000,4.9,56000
Epson,printer,2,good,20500,1.05,13000
Fitbit,wearable,2,good,14500,8.2,10000
Acer,laptop,2,good,46000,6.6,28000
MSI,laptop,3,excellent,84000,7.5,60000
Dell,monitor,4,excellent,19000,8.5,14000
Huawei,smartphone,2,excellent,44000,4.6,32000
Realme,smartphone,3,good,18500,5.9,11500
Google,smartphone,1,excellent,70000,4.1,54000
OnePlus,smartphone,3,fair,37000,5.2,22000
Motorola,smartphone,3,excellent,17500,5.5,12000
Apple,smartphone,3,fair,78000,5.2,42000
Samsung,smartwatch,5,fair,22000,9.5,11000
Lenovo,laptop,3,excellent,59000,6.0,40000
Xiaomi,smartphone,1,good,23500,4.7,17000
HP,laptop,3,good,59000,6.5,36000
Asus,laptop,3,excellent,77000,6.2,52000
Sony,console,1,good,50000,5.0,34000
LG,smartphone,4,excellent,22000,5.8,13000
Samsung,tablet,4,excellent,32000,3.8,22000
Dell,desktop,4,excellent,40000,7.2,24000
Apple,smartwatch,4,excellent,31000,11.5,20000
Canon,camera,4,excellent,54000,1.95,38000
Nikon,camera,4,excellent,60000,1.85,42000
JBL,speaker,4,excellent,11500,2.7,8000
Bose,headphones,4,excellent,21000,2.0,14000
Microsoft,console,4,excellent,39000,5.1,26000
Epson,printer,3,fair,18500,1.25,9500
Fitbit,wearable,3,fair,10500,7.8,6000
Acer,laptop,3,fair,40000,7.0,22000
MSI,laptop,3,fair,74000,8.0,44000
Dell,monitor,3,excellent,23000,8.3,17000
Huawei,smartphone,3,excellent,38000,5.0,26000
Realme,smartphone,1,excellent,20500,4.6,15500
Google,smartphone,3,fair,58000,5.0,34000
OnePlus,smartphone,4,excellent,43000,5.0,30000
Motorola,smartphone,4,excellent,13000,6.0,8500
Samsung,laptop,4,excellent,56000,6.2,38000
Lenovo,tablet,4,excellent,28000,3.9,19000
Apple,tablet,4,excellent,50000,3.0,34000
Xiaomi,tablet,3,excellent,26500,3.4,18000
HP,laptop,4,excellent,62000,6.8,38000
Asus,laptop,4,excellent,72000,7.0,48000
Sony,headphones,4,excellent,16000,2.8,11000
LG,monitor,3,excellent,29000,6.9,20000
Samsung,monitor,3,excellent,25000,7.2,18000
Nintendo,console,3,excellent,29000,4.2,21000
Canon,printer,3,excellent,18000,0.95,12000
JBL,headphones,3,excellent,9500,3.1,6500
Bose,speaker,3,fair,33000,2.7,22000
Microsoft,surface,1,good,100000,4.5,76000
Epson,printer,4,good,17500,1.3,9500
Fitbit,wearable,4,excellent,13000,7.5,9000
Acer,laptop,4,excellent,44000,6.9,26000
MSI,laptop,4,excellent,78000,7.9,52000
Dell,desktop,4,good,43000,7.0,26000
Huawei,tablet,4,excellent,30000,3.3,20000
Realme,smartphone,4,excellent,17000,5.7,10500
Google,smartphone,4,excellent,64000,4.8,44000
OnePlus,smartphone,5,excellent,40000,5.4,26000
Motorola,smartphone,5,excellent,11000,6.4,6000
Apple,laptop,3,excellent,125000,5.5,88000
Samsung,smartphone,1,excellent,47000,4.3,34000
Lenovo,laptop,4,excellent,55000,6.5,36000
Xiaomi,smartphone,1,excellent,26000,4.4,20000
HP,laptop,4,excellent,63000,6.7,40000
Asus,laptop,4,excellent,69000,7.2,46000
Sony,console,4,excellent,37000,4.9,24000
LG,smartphone,4,good,21000,5.9,12000
Samsung,tablet,5,good,30000,4.0,18000
Dell,desktop,1,excellent,52000,6.2,38000
Apple,smartwatch,5,good,26000,10.0,16000
Canon,camera,1,excellent,70000,1.8,54000
Nikon,camera,3,fair,56000,2.05,32000
JBL,speaker,5,good,8000,2.0,4500
Bose,headphones,5,good,19000,1.8,11000
Microsoft,console,3,excellent,44000,5.3,30000
Epson,printer,5,excellent,13000,1.4,8000
Fitbit,wearable,3,excellent,15500,8.0,11500
Acer,laptop,5,excellent,38000,7.2,20000
MSI,laptop,5,excellent,74000,8.0,48000
Dell,monitor,5,good,17000,8.8,10000
Huawei,smartphone,1,good,46000,4.2,34000
Realme,smartphone,2,good,19200,5.3,11800
Google,smartphone,2,fair,58000,5.1,36000
OnePlus,smartphone,2,fair,38000,5.3,21000
Motorola,smartphone,2,good,16800,5.6,10000
Samsung,laptop,1,good,66000,5.4,50000
Lenovo,tablet,2,good,31000,3.6,21000
Apple,tablet,2,good,56000,3.2,40000
Xiaomi,tablet,2,excellent,27500,3.2,18500
HP,laptop,2,good,57000,6.3,38000
Asus,laptop,2,good,79000,6.1,52000
Sony,headphones,2,good,17000,2.9,12000
LG,monitor,2,excellent,31000,6.4,23000
Samsung,monitor,2,good,23000,7.8,16000
Nintendo,console,2,fair,29000,4.0,18000
Canon,printer,5,good,13000,1.1,6500
JBL,headphones,2,good,10000,3.4,7000
Bose,speaker,5,good,30000,2.4,20000
Microsoft,surface,5,good,70000,5.0,44000
Epson,printer,1,good,21500,1.0,14500
Fitbit,wearable,1,good,15000,8.5,10500
Acer,laptop,1,good,53000,6.4,40000
MSI,laptop,1,good,97000,6.9,74000
Dell,desktop,1,good,49000,6.6,34000
Huawei,tablet,1,good,37000,3.1,27000
Realme,smartphone,1,good,19800,4.7,14800
Google,smartphone,5,excellent,50000,5.4,32000
OnePlus,smartphone,1,good,37000,4.5,27000
Motorola,smartphone,1,good,19800,4.9,14800
Samsung,smartwatch,1,good,33000,12.0,25000
Lenovo,laptop,1,good,63000,5.4,48000
Apple,smartphone,1,good,87000,4.1,65000
Xiaomi,smartphone,1,good,24800,4.6,18200
HP,laptop,1,good,60000,5.6,46000
Asus,laptop,1,good,81000,5.8,60000
Sony,console,1,good,51000,5.1,36000
LG,smartphone,1,good,29000,4.3,20000
Samsung,tablet,1,good,37000,3.3,27000
Dell,desktop,1,good,47000,6.4,31000
Apple,smartwatch,1,good,39000,13.2,29000
Canon,camera,2,fair,54000,2.05,34000
Nikon,camera,2,fair,60000,1.95,38000
JBL,speaker,2,fair,14000,2.9,8500
Bose,headphones,2,fair,21000,2.2,13000
Microsoft,console,2,fair,43000,5.2,26000
Epson,printer,2,fair,19800,1.15,10500
Fitbit,wearable,2,fair,13800,8.0,9000
Acer,laptop,2,fair,44000,6.7,24000
MSI,laptop,2,fair,81000,7.6,48000
Dell,monitor,2,fair,20500,8.4,14000
Huawei,smartphone,4,excellent,36000,4.9,24000
Realme,smartphone,4,fair,14800,6.1,7500
Google,smartphone,4,fair,50000,5.1,30000
OnePlus,smartphone,4,fair,33000,5.4,19000
Motorola,smartphone,4,fair,10800,6.2,4800
Samsung,laptop,4,fair,50000,6.9,28000
Lenovo,tablet,4,good,26000,3.8,16000
Apple,tablet,4,fair,46000,3.2,28000
Xiaomi,tablet,4,fair,20000,4.2,11000
HP,laptop,4,fair,52000,7.2,26000
Asus,laptop,4,fair,64000,7.6,34000
Sony,headphones,3,excellent,15000,2.7,10500
LG,monitor,3,good,25000,6.8,15000
Samsung,monitor,3,good,22000,7.6,15000
Nintendo,console,3,good,27000,4.1,17000
Canon,printer,3,fair,16500,1.05,8500
JBL,headphones,3,fair,8800,3.6,5200
Bose,speaker,3,good,35000,2.9,24000
Microsoft,surface,2,excellent,95000,4.7,68000
Epson,printer,2,fair,20000,1.18,10000
Fitbit,wearable,2,fair,13200,7.9,7500
Acer,laptop,2,fair,43000,6.9,23000
MSI,laptop,2,fair,79000,7.7,46000
Dell,desktop,2,fair,43000,7.1,25000
Huawei,tablet,2,fair,32000,3.5,19000
Realme,smartphone,2,fair,17800,5.9,9200
Google,smartphone,2,fair,59000,4.9,37000
OnePlus,smartphone,2,fair,37000,5.2,21000
Motorola,smartphone,2,fair,15200,5.8,8800
Samsung,smartwatch,2,fair,29000,11.0,19000
Lenovo,laptop,2,fair,54000,6.9,32000
Apple,smartphone,2,fair,80000,4.9,48000
Xiaomi,smartphone,2,fair,22800,5.6,14000
HP,laptop,2,fair,53000,6.8,32000
Asus,laptop,2,fair,75000,7.0,44000
Sony,console,2,fair,41000,4.9,24000
LG,smartphone,2,fair,23000,5.7,13000
Samsung,tablet,2,fair,33000,3.7,21000
Dell,desktop,2,fair,41000,7.2,23000
Apple,smartwatch,2,fair,34000,12.0,22000
Canon,camera,3,fair,52000,2.0,30000
Nikon,camera,3,fair,58000,2.0,34000
JBL,speaker,3,fair,11000,2.6,6500
Bose,headphones,3,fair,20000,2.0,12000
Microsoft,console,3,fair,39000,5.0,24000
Epson,printer,3,fair,18800,1.22,9200
Fitbit,wearable,3,fair,10000,7.5,5500
Acer,laptop,3,fair,39000,7.1,20000
MSI,laptop,3,fair,72000,8.1,40000
Dell,monitor,3,fair,19500,8.6,12000
